T[s],control,ignite,v25_state,v21_state,v35_state,v7_state,v10_state,v6_state,v18_state,v22_state,v16_state,v20_state,sequence_time[s]
-20.90,0x0001,0,close,close,close,close,close,close,close,close,close,close,-20
-20.50,0x0001,0,close,close,close,close,close,close,close,close,close,close,-20
-20.40,0x0001,0,close,close,close,close,close,close,close,close,close,close,-20
-20.00,0x4001,0,close,close,close,close,close,close,close,close,close,close,-19
-19.90,0x4001,0,close,close,close,close,close,close,close,close,close,close,-19
-19.50,0x4001,0,close,close,close,close,close,close,close,close,close,close,-19
-19.10,0x4001,0,close,close,close,close,close,close,close,close,close,close,-18
-18.60,0x4001,0,close,close,close,close,close,close,close,close,close,close,-18
-18.10,0x4001,0,close,close,close,close,close,close,close,close,close,close,-18
-17.70,0x4001,0,close,close,close,close,close,close,close,close,close,close,-17
-17.20,0x4001,0,close,close,close,close,close,close,close,close,close,close,-17
-16.70,0x4001,0,close,close,close,close,close,close,close,close,close,close,-16
-16.30,0x4001,0,close,close,close,close,close,close,close,close,close,close,-16
-15.80,0x4001,0,close,close,close,close,close,close,close,close,close,close,-15
-15.30,0x4001,0,close,close,close,close,close,close,close,close,close,close,-15
-14.90,0x4001,0,close,close,close,close,close,close,close,close,close,close,-14
-14.40,0x4001,0,close,close,close,close,close,close,close,close,close,close,-14
-13.90,0x4001,0,close,close,close,close,close,close,close,close,close,close,-13
-13.50,0x4001,0,close,close,close,close,close,close,close,close,close,close,-13
-13.00,0x4001,0,close,close,close,close,close,close,close,close,close,close,-12
-12.60,0x4001,0,close,close,close,close,close,close,close,close,close,close,-12
-12.10,0x4801,0,close,close,close,close,close,close,close,close,close,close,-11
-11.60,0x4801,0,open,close,close,close,close,close,close,close,close,close,-11
-11.19,0x4801,0,open,close,close,close,close,close,close,close,close,close,-11
-10.70,0x4801,0,open,close,close,close,close,close,close,close,close,close,-10
-10.20,0x4801,0,open,close,close,close,close,close,close,close,close,close,-10
-9.80,0x4801,0,open,close,close,close,close,close,close,close,close,close,-9
-9.30,0x4801,0,open,close,close,close,close,close,close,close,close,close,-9
-8.80,0x4801,0,open,close,close,close,close,close,close,close,close,close,-8
-8.40,0x4801,0,open,close,close,close,close,close,close,close,close,close,-8
-7.90,0x4801,0,open,close,close,close,close,close,close,close,close,close,-7
-7.40,0x4801,0,open,close,close,close,close,close,close,close,close,close,-7
-7.00,0x4801,0,open,close,close,close,close,close,close,close,close,close,-6
-6.50,0x4801,0,open,close,close,close,close,close,close,close,close,close,-6
-6.00,0x482b,0,open,close,open,close,close,open,close,close,close,close,-5
-5.60,0x482b,0,open,close,open,close,open,open,close,moving,close,close,-5
-5.10,0x482b,0,open,close,open,close,open,open,close,open,close,close,-4
-4.70,0x482b,0,open,close,open,close,open,open,close,open,close,close,-4
-4.20,0x482b,0,open,close,open,close,open,open,close,open,close,close,-3
-3.70,0x482b,0,open,close,open,close,open,open,close,open,close,close,-3
-3.30,0x482b,0,open,close,open,close,open,open,close,open,close,close,-3
-2.80,0x482b,0,open,close,open,close,open,open,close,open,close,close,-2
-2.30,0x482b,0,open,close,open,close,open,open,close,open,close,close,-2
-1.90,0x482b,0,open,close,open,close,open,open,close,open,close,close,-1
-1.40,0x582b,1,open,close,open,close,open,open,close,open,close,close,-1
-0.90,0x482b,0,open,close,open,close,open,open,close,open,close,close,0
