T[s],T1[cdeg],T2[cdeg],T3[cdeg]
-20.99,29.0,-68.0,-57.0
-20.60,29.0,-68.0,-57.0
-17.30,29.0,-70.0,-57.0
-16.30,29.0,-71.0,-57.0
-15.99,29.0,-71.0,-57.0
-15.40,29.0,-71.0,-57.0
-13.60,29.0,-72.0,-56.0
-13.10,29.0,-73.0,-56.0
-10.70,29.0,-74.0,-56.0
-9.40,29.0,-75.0,-56.0
-8.90,29.0,-76.0,-56.0
-8.40,29.0,-76.0,-56.0
-7.99,29.0,-76.0,-56.0
-4.70,29.0,-79.0,-56.0
-3.40,29.0,-79.0,-56.0
-2.00,29.0,-81.0,-57.0
-1.50,29.0,-82.0,-57.0
-0.70,29.0,-83.0,-58.0
-0.09,29.0,-83.0,-59.0
0.80,29.0,-85.0,-60.0
2.70,29.0,-86.0,-67.0
3.60,29.0,-87.0,-71.0
4.10,29.0,-87.0,-71.0
4.60,29.0,-87.0,-71.0
4.91,29.0,-87.0,-73.0
6.40,29.0,-87.0,-74.0
7.30,29.0,-86.0,-76.0
7.80,29.0,-86.0,-78.0
10.10,29.0,-84.0,-80.0
11.00,29.0,-83.0,-81.0
13.30,29.0,-80.0,-83.0
15.30,29.0,-78.0,-85.0
16.10,29.0,-77.0,-86.0
16.61,29.0,-76.0,-87.0
17.10,29.0,-76.0,-87.0
18.41,29.0,-74.0,-87.0
19.80,29.0,-73.0,-89.0
20.80,29.0,-72.0,-89.0
21.30,29.0,-72.0,-89.0
22.70,29.0,-71.0,-90.0
24.00,29.0,-70.0,-91.0
25.90,29.0,-68.0,-91.0
26.80,29.0,-67.0,-92.0
28.30,29.0,-66.0,-92.0
31.00,29.0,-63.0,-93.0
34.30,29.0,-60.0,-93.0
35.60,29.0,-59.0,-94.0
37.10,29.0,-57.0,-95.0
39.00,29.0,-56.0,-95.0
40.30,29.0,-54.0,-95.0
41.70,29.0,-53.0,-95.0
43.00,28.0,-52.0,-95.0
44.50,29.0,-51.0,-95.0
45.80,28.0,-50.0,-96.0
52.40,28.0,-44.0,-96.0
55.11,28.0,-41.0,-96.0
64.10,28.0,-33.0,-97.0
66.40,28.0,-31.0,-97.0
