# T[s],vavle_state,power_a[A],power_v[V]
-38.093,2,-0.02,21.70
-37.993,2,0.02,21.67
-37.892,2,-0.04,21.69
-37.792,2,0.00,21.68
-37.692,2,0.00,21.68
-37.592,2,-0.02,21.68
-37.491,2,0.02,21.66
-37.393,2,-0.02,21.68
-37.292,2,0.02,21.68
-37.192,2,0.00,21.68
-37.092,2,0.02,21.67
-36.993,2,0.00,21.68
-36.891,2,-0.02,21.68
-36.791,2,0.02,21.68
-36.691,2,-0.02,21.68
-36.593,2,0.00,21.68
-36.493,2,0.00,21.68
-36.392,2,0.00,21.65
-36.293,2,0.00,21.69
-36.193,2,-0.02,21.68
-36.093,2,-0.06,21.68
-35.992,2,-0.08,21.68
-35.892,2,-0.02,21.69
-35.792,2,-0.02,21.70
-35.692,2,-0.02,21.68
-35.591,2,-0.04,21.71
-35.491,2,0.02,21.68
-35.391,2,0.00,21.67
-35.293,2,-0.02,21.68
-35.192,2,0.00,21.68
-35.093,2,0.02,21.66
-34.993,2,-0.04,21.67
-34.891,2,0.02,21.67
-34.788,2,0.02,21.68
-34.692,2,0.00,21.66
-34.592,2,0.00,21.68
-34.487,2,-0.02,21.68
-34.391,2,0.02,21.67
-34.293,2,0.00,21.65
-34.193,2,0.04,21.65
-34.092,2,-0.02,21.68
-33.993,2,0.00,21.66
-33.888,2,0.00,21.68
-33.792,2,0.00,21.66
-33.691,2,0.00,21.68
-33.592,2,0.02,21.67
-33.492,2,0.00,21.66
-33.392,2,-0.06,21.68
-33.292,2,0.00,21.68
-33.193,2,0.00,21.66
-33.093,2,0.00,21.66
-32.993,2,0.02,21.66
-32.893,2,-0.02,21.65
-32.792,2,-0.02,21.67
-32.691,2,-0.02,21.66
-32.592,2,0.02,21.67
-32.493,2,0.00,21.67
-32.393,2,0.02,21.66
-32.291,2,0.00,21.66
-32.193,2,0.00,21.66
-32.092,2,-0.02,21.66
-31.991,2,0.02,21.66
-31.892,2,-0.02,21.66
-31.791,2,-0.02,21.66
-31.693,2,0.00,21.67
-31.593,2,0.00,21.66
-31.492,2,0.00,21.67
-31.391,2,0.02,21.66
-31.291,2,0.02,21.66
-31.193,2,-0.02,21.66
-31.093,2,0.00,21.64
-30.993,2,0.00,21.65
-30.892,2,0.02,21.65
-30.791,2,0.00,21.68
-30.692,2,-0.02,21.65
-30.593,2,0.02,21.65
-30.493,2,-0.02,21.65
-30.393,2,0.02,21.65
-30.292,2,0.00,21.65
-30.193,2,0.00,21.64
-30.093,2,0.02,21.67
-29.993,2,0.02,21.66
-29.888,2,0.00,21.67
-29.791,2,-0.02,21.65
-29.692,2,0.02,21.65
-29.592,2,0.02,21.64
-29.493,2,0.00,21.66
-29.393,2,0.02,21.66
-29.293,2,0.00,21.66
-29.193,2,0.00,21.67
-29.092,2,0.02,21.65
-28.992,2,-0.02,21.67
-28.891,2,-0.02,21.66
-28.788,2,0.00,21.65
-28.693,2,0.02,21.67
-28.593,2,0.00,21.68
-28.489,2,0.00,21.64
-28.392,2,-0.02,21.68
-28.292,2,0.00,21.64
-28.193,2,-0.02,21.64
-28.092,2,0.02,21.65
-27.993,2,0.00,21.65
-27.893,2,0.00,21.66
-27.792,2,0.02,21.65
-27.692,2,0.04,21.65
-27.591,2,0.02,21.65
-27.491,2,0.02,21.66
-27.393,2,0.04,21.66
-27.293,2,-0.04,21.67
-27.192,2,0.00,21.68
-27.092,2,0.00,21.66
-26.993,2,-0.02,21.67
-26.891,2,0.02,21.65
-26.792,2,0.02,21.66
-26.693,2,0.02,21.64
-26.592,2,0.00,21.66
-26.491,2,0.02,21.65
-26.391,2,-0.02,21.68
-26.291,2,-0.02,21.65
-26.193,2,0.00,21.64
-26.092,2,-0.02,21.65
-25.992,2,-0.02,21.67
-25.892,2,0.00,21.66
-25.791,2,0.02,21.64
-25.693,2,-0.02,21.67
-25.588,2,-0.04,21.65
-25.492,2,-0.02,21.65
-25.392,2,0.02,21.68
-25.292,2,-0.02,21.68
-25.192,2,0.00,21.66
-25.091,2,-0.02,21.65
-24.993,2,0.04,21.66
-24.893,2,-0.04,21.65
-24.792,2,0.00,21.65
-24.692,2,0.00,21.65
-24.591,2,0.02,21.66
-24.493,2,0.00,21.64
-24.393,2,0.00,21.66
-24.291,2,0.00,21.66
-24.191,2,0.00,21.65
-24.092,2,0.02,21.65
-23.992,2,0.02,21.65
-23.892,2,0.04,21.64
-23.793,2,-0.02,21.65
-23.693,2,0.00,21.65
-23.593,2,-0.02,21.65
-23.493,2,0.00,21.65
-23.392,2,0.00,21.64
-23.292,2,0.00,21.65
-23.193,2,0.00,21.65
-23.091,2,0.00,21.65
-22.992,2,0.00,21.64
-22.893,2,-0.04,21.66
-22.792,2,-0.04,21.67
-22.693,2,0.02,21.65
-22.593,2,0.00,21.65
-22.486,2,-0.02,21.64
-22.393,2,0.00,21.65
-22.288,2,-0.02,21.64
-22.192,2,0.00,21.66
-22.089,2,0.00,21.65
-21.991,2,0.00,21.65
-21.893,2,-0.04,21.64
-21.792,2,0.00,21.64
-21.690,2,0.00,21.64
-21.592,2,0.02,21.64
-21.492,2,0.00,21.64
-21.393,2,-0.04,21.65
-21.293,2,0.02,21.65
-21.193,2,0.02,21.65
-21.093,2,0.02,21.64
-20.992,2,-0.02,21.65
-20.891,2,0.00,21.66
-20.792,2,0.00,21.65
-20.691,2,0.02,21.65
-20.593,2,0.00,21.67
-20.493,2,0.00,21.65
-20.392,2,0.02,21.64
-20.292,2,-0.02,21.64
-20.193,2,0.02,21.65
-20.092,2,-0.02,21.64
-19.993,2,0.06,21.65
-19.893,2,-0.02,21.66
-19.787,2,0.02,21.65
-19.692,2,0.02,21.66
-19.592,2,0.02,21.64
-19.491,2,0.00,21.64
-19.391,2,0.02,21.64
-19.293,2,0.00,21.63
-19.193,2,0.02,21.65
-19.088,2,0.02,21.64
-18.993,2,-0.02,21.64
-18.891,2,0.02,21.64
-18.792,2,0.02,21.64
-18.692,2,-0.02,21.65
-18.592,2,0.02,21.64
-18.492,2,0.00,21.64
-18.391,2,-0.02,21.65
-18.292,2,-0.02,21.64
-18.191,2,-0.02,21.64
-18.093,2,0.02,21.64
-17.993,2,0.00,21.64
-17.892,2,0.02,21.63
-17.792,2,-0.04,21.65
-17.690,2,-0.04,21.64
-17.591,2,0.00,21.64
-17.491,2,0.04,21.64
-17.393,2,0.02,21.65
-17.292,2,0.02,21.64
-17.192,2,0.04,21.64
-17.093,2,0.00,21.63
-16.993,2,-0.02,21.65
-16.891,2,0.02,21.63
-16.792,2,0.00,21.67
-16.692,2,0.00,21.63
-16.592,2,0.00,21.62
-16.492,2,0.00,21.64
-16.393,2,-0.02,21.64
-16.291,2,0.00,21.64
-16.192,2,0.00,21.64
-16.092,2,0.02,21.64
-15.992,2,0.02,21.65
-15.893,2,-0.02,21.65
-15.791,2,0.00,21.62
-15.693,2,0.04,21.62
-15.592,2,-0.02,21.63
